Date,Open,High,Low,Close,Volume
2024-09-02,70000,70236,69925,70151,5136586
2024-09-03,70151,70309,69433,69868,5077537
2024-09-04,69868,70325,69464,69605,3543928
2024-09-05,69605,69848,69376,69656,3561468
2024-09-06,69656,69754,69168,69733,5463181
2024-09-09,69733,69824,69664,69718,6230913
2024-09-10,69718,70418,69692,70094,6266928
2024-09-11,70094,70638,69467,69883,5098482
2024-09-12,69883,69908,69536,69721,5498962
2024-09-13,69721,70146,69400,70144,6831107
2024-09-16,70144,70746,70055,70515,2158037
2024-09-17,70515,70984,69896,70272,2691058
2024-09-18,70272,70735,70046,70220,5888875
2024-09-19,70220,70247,69721,70084,5095480
2024-09-20,70084,70336,69452,69876,5770782
2024-09-23,69876,69884,69611,69830,3604630
2024-09-24,69830,70261,69616,69659,4784561
2024-09-25,69659,70138,69183,69447,5080977
2024-09-26,69447,69687,68950,69682,2077381
2024-09-27,69682,69720,69086,69478,2207234
2024-09-30,69478,70658,69201,70101,4251998
2024-10-01,70101,70490,69877,70463,2851281
2024-10-02,70463,71144,70144,70669,4404194
2024-10-03,70669,71299,70317,70755,6410631
2024-10-04,70755,71284,70020,70595,3997006
2024-10-07,70595,71157,70533,71060,4712909
2024-10-08,71060,71654,70971,71188,2808161
2024-10-09,71188,71566,70880,71211,7922130
2024-10-10,71211,72134,70782,71731,3736849
2024-10-11,71731,72652,71341,72058,2145302
2024-10-14,72058,72755,72042,72198,3318483
2024-10-15,72198,72287,72068,72264,5554031
2024-10-16,72264,72524,71668,72468,2728360
2024-10-17,72468,72661,72190,72384,6506908
2024-10-18,72384,72948,72359,72943,7042974
2024-10-21,72943,73703,72387,73560,7071729
2024-10-22,73560,73943,73179,73616,5751975
2024-10-23,73616,73794,73477,73587,2177501
2024-10-24,73587,74147,72993,73585,6689823
2024-10-25,73585,74115,73376,73488,3768610
2024-10-28,73488,74099,73061,73765,2731566
2024-10-29,73765,74301,73236,74066,4669485
2024-10-30,74066,74710,73788,74132,5258107
2024-10-31,74132,75212,74055,74726,2644003
2024-11-01,74726,74835,73894,74458,6320598
2024-11-04,74458,74893,74218,74539,2749699
2024-11-05,74539,75641,74005,75063,3035797
2024-11-06,75063,75388,74685,75055,7654594
2024-11-07,75055,75921,74887,75473,4038104
2024-11-08,75473,76093,75325,75610,7328005
2024-11-11,75610,75972,75444,75858,3371065
2024-11-12,75858,76627,75809,76243,4523070
2024-11-13,76243,77116,75776,76588,7720191
2024-11-14,76588,77322,76054,77042,7815154
2024-11-15,77042,77395,76645,76772,5805660
2024-11-18,76772,77222,76705,76797,6836014
2024-11-19,76797,77110,76237,76669,3202572
2024-11-20,76669,77162,76320,76689,3191307
2024-11-21,76689,77089,76656,77058,3286657
2024-11-22,77058,77161,76677,76852,3623962
2024-11-25,76852,77424,76632,77142,4722735
2024-11-26,77142,77709,76542,77311,4134359
2024-11-27,77311,77735,77201,77548,7628386
2024-11-28,77548,77916,77302,77534,7736735
2024-11-29,77534,77817,76514,77042,3874417
2024-12-02,77042,77822,76508,77293,2099006
2024-12-03,77293,77641,76960,76971,7344775
2024-12-04,76971,77377,76344,76737,7907976
2024-12-05,76737,77301,75936,76387,2185206
2024-12-06,76387,76781,76039,76065,6111802
2024-12-09,76065,76284,75688,75894,3311067
2024-12-10,75894,76280,75424,75787,3931463
2024-12-11,75787,75847,75642,75724,7055281
2024-12-12,75724,76311,75103,75314,2003910
2024-12-13,75314,75525,75062,75155,3098991
2024-12-16,75155,75220,74478,75045,3081385
2024-12-17,75045,75164,74553,74938,5914833
2024-12-18,74938,75223,74569,75009,4527721
2024-12-19,75009,75126,74211,74685,5326324
