date,time,group,code,grade,momentum,dayTrend,dayChg,fromLow,after30maxUp,after30maxDn,userRuleRet
2026-06-16,10:16,000660 SK하이닉스,000660,강✅,+1.35%,1.00,-2.1%,1.9%,+1.1%,-0.5%,-0.04%
2026-06-16,12:22,000660 SK하이닉스,000660,약⚠,+0.43%,1.00,-1.0%,3.1%,+1.2%,+0.0%,+0.42%
2026-06-17,12:35,000660 SK하이닉스,000660,약⚠,-0.08%,0.94,+3.1%,3.1%,+0.5%,-0.1%,+0.00%
2026-06-18,10:11,000660 SK하이닉스,000660,약⚠,+0.42%,1.00,+2.0%,2.0%,+0.5%,-0.4%,+0.00%
2026-06-18,14:10,000660 SK하이닉스,000660,약⚠,+0.68%,1.00,+4.8%,4.8%,+1.2%,-0.2%,+0.00%
2026-06-19,11:12,000660 SK하이닉스,000660,약⚠,-0.14%,1.00,+1.1%,2.8%,+0.4%,-1.1%,-0.04%
2026-06-19,11:26,000660 SK하이닉스,000660,약⚠,+0.60%,1.00,+1.1%,2.8%,+0.6%,-0.3%,-0.16%
2026-06-19,12:41,000660 SK하이닉스,000660,약⚠,+0.58%,1.00,-1.5%,2.2%,+0.0%,-3.3%,-0.50%
2026-06-19,13:09,000660 SK하이닉스,000660,약⚠,+0.70%,1.00,-2.8%,2.2%,+1.6%,-0.7%,+0.33%
2026-06-19,14:44,000660 SK하이닉스,000660,약⚠,+0.33%,1.00,-3.6%,1.3%,+3.3%,+0.0%,+1.36%
2026-06-22,11:04,000660 SK하이닉스,000660,약⚠,+0.00%,1.00,+6.6%,6.6%,+0.6%,-0.6%,+0.28%
2026-06-22,13:49,000660 SK하이닉스,000660,약⚠,+0.38%,1.00,+5.7%,5.7%,+0.4%,-0.7%,-0.14%
2026-06-23,09:35,000660 SK하이닉스,000660,약⚠,-0.11%,1.00,-1.6%,0.9%,+1.5%,-0.4%,+0.04%
2026-06-23,11:52,000660 SK하이닉스,000660,약⚠,+0.69%,1.00,-4.6%,1.7%,+0.3%,-1.7%,-0.07%
2026-06-23,14:06,000660 SK하이닉스,000660,약⚠,+0.45%,1.00,-8.5%,1.0%,+0.1%,-3.4%,-0.41%
2026-06-23,15:19,000660 SK하이닉스,000660,약⚠,-1.19%,1.00,-11.1%,1.5%,+0.0%,-0.8%,-0.50%
2026-06-24,10:22,000660 SK하이닉스,000660,약⚠,-0.53%,0.91,+0.8%,1.3%,+2.0%,-0.3%,+0.21%
2026-06-24,12:11,000660 SK하이닉스,000660,강✅,+1.21%,0.91,-3.4%,2.3%,+1.2%,-2.2%,-0.20%
2026-06-24,13:32,000660 SK하이닉스,000660,약⚠,+0.65%,0.91,-4.3%,1.3%,+3.5%,-0.5%,-0.16%
2026-06-25,10:01,000660 SK하이닉스,000660,약⚠,+0.29%,0.29,-2.7%,1.2%,+0.1%,-1.4%,-0.50%
2026-06-25,15:04,000660 SK하이닉스,000660,약⚠,+0.68%,0.29,+3.6%,7.9%,+0.2%,-1.7%,-0.03%
