date,time,open,close,low,high,volume
2026-06-12,09:02,191000,191065,190500,191900,480734
2026-06-12,09:03,191065,191110,190080,191275,258283
2026-06-12,09:04,191085,190500,190200,191420,206999
2026-06-12,09:05,190455,191730,190400,192150,205789
2026-06-12,09:06,191755,191665,191000,192055,174496
2026-06-12,09:07,191585,191665,191320,192000,115184
2026-06-12,09:08,191680,191655,191590,192000,145346
2026-06-12,09:09,191745,191930,191555,192025,91644
2026-06-12,09:10,191915,191630,191360,192075,87610
2026-06-12,09:11,191665,193965,191560,194270,482744
2026-06-12,09:12,193965,194265,193845,194980,209248
2026-06-12,09:13,194265,194990,194115,195000,136998
2026-06-12,09:14,195000,194380,194200,195240,122716
2026-06-12,09:15,194380,193400,193095,194395,119000
2026-06-12,09:16,193322,193260,193000,193600,108699
2026-06-12,09:17,193335,194400,193225,194500,61513
2026-06-12,09:18,194435,194375,194035,195145,114835
2026-06-12,09:19,194325,194760,194120,194850,50473
2026-06-12,09:20,194775,194620,194540,195310,95940
2026-06-12,09:21,194685,194550,194375,195225,65133
2026-06-12,09:22,194520,194765,194410,195080,36881
2026-06-12,09:23,194800,195500,194700,195555,104379
2026-06-12,09:24,195505,195340,195130,195665,37813
2026-06-12,09:25,195315,195525,195115,195590,41215
2026-06-12,09:26,195525,195280,195280,195730,36339
2026-06-12,09:27,195275,195520,194370,195555,67569
2026-06-12,09:28,195510,195900,195510,196090,96864
2026-06-12,09:29,195950,195985,195800,196300,90459
2026-06-12,09:30,195985,196200,195560,196385,71465
2026-06-12,09:31,196225,197145,196170,197200,94214
2026-06-12,09:32,197145,197055,196870,197250,54502
2026-06-12,09:33,197055,197080,196850,197280,75251
2026-06-12,09:34,197080,197015,196850,197255,30096
2026-06-12,09:35,196970,197115,196895,197250,46646
2026-06-12,09:36,197115,197150,196900,197255,42848
2026-06-12,09:37,197200,197680,197010,197730,50613
2026-06-12,09:38,197702,197765,197685,198000,69402
2026-06-12,09:39,197800,197670,197415,197930,41587
2026-06-12,09:40,197670,197880,197000,197995,60012
2026-06-12,09:41,197880,198170,197842,198170,68197
2026-06-12,09:42,198140,197660,197550,198175,39642
2026-06-12,09:43,197700,197895,197600,198275,60320
2026-06-12,09:44,197930,197565,197495,197960,30662
2026-06-12,09:45,197565,197995,197565,198110,35630
2026-06-12,09:46,198015,197700,197670,198135,16577
2026-06-12,09:47,197700,196900,196850,197825,50514
2026-06-12,09:48,196850,196735,196590,197300,45404
2026-06-12,09:49,196620,196300,196235,196840,39128
2026-06-12,09:50,196302,196635,196155,196725,36947
2026-06-12,09:51,196725,196440,196315,197105,38153
2026-06-12,09:52,196400,197525,196315,197525,60258
2026-06-12,09:53,197525,197455,197105,197860,41467
2026-06-12,09:54,197417,196630,196525,197585,27366
2026-06-12,09:55,196620,196255,196210,196650,35087
2026-06-12,09:56,196290,196020,195510,196380,51505
2026-06-12,09:57,196060,195665,195635,196475,26694
2026-06-12,09:58,195725,195765,195575,196020,32978
2026-06-12,09:59,195765,196665,195750,196720,41583
2026-06-12,10:00,196650,195580,195200,196855,81251
2026-06-12,10:01,195637,195745,195410,196085,43824
2026-06-12,10:02,195800,195105,195045,195855,27786
2026-06-12,10:03,195105,195795,195010,195795,44796
2026-06-12,10:04,195795,196435,195755,196650,61093
2026-06-12,10:05,196555,196285,196010,196590,38861
2026-06-12,10:06,196285,196250,196040,197200,69617
2026-06-12,10:07,196250,196200,195965,196490,31043
2026-06-12,10:08,196185,196400,196100,196770,21198
2026-06-12,10:09,196400,196800,196400,196910,22930
2026-06-12,10:10,196820,196580,196450,196915,22826
2026-06-12,10:11,196475,195830,195800,196800,35509
2026-06-12,10:12,195795,196025,195195,196025,43535
2026-06-12,10:13,195935,195635,195340,196075,35356
2026-06-12,10:14,195627,195395,195310,195655,22371
2026-06-12,10:15,195395,194755,194495,195395,50674
2026-06-12,10:16,194695,194940,194640,195025,24630
2026-06-12,10:17,194940,194625,194580,194990,16325
2026-06-12,10:18,194600,193690,193590,194600,68884
2026-06-12,10:19,193690,193550,193445,193800,37867
2026-06-12,10:20,193550,194165,193365,194365,49958
2026-06-12,10:21,194075,194630,193945,194720,36389
2026-06-12,10:22,194625,193400,193360,194625,28308
2026-06-12,10:23,193400,193800,193325,194000,18845
2026-06-12,10:24,193750,193450,193435,193845,20028
2026-06-12,10:25,193450,192695,192695,193460,60710
2026-06-12,10:26,192700,192640,192550,193095,34441
2026-06-12,10:27,192620,192985,192600,193350,38568
2026-06-12,10:28,192975,191745,191670,193035,68473
2026-06-12,10:29,191835,192160,191800,192695,32088
2026-06-12,10:30,192145,193445,192145,193630,45610
2026-06-12,10:31,193430,192990,192835,193500,24698
2026-06-12,10:32,193030,193995,192870,194050,32633
2026-06-12,10:33,194030,193675,193185,194030,25867
2026-06-12,10:34,193600,194455,193560,194500,37200
2026-06-12,10:35,194450,194145,193870,194610,40710
2026-06-12,10:36,194150,193925,193700,194350,45974
2026-06-12,10:37,193815,193885,193395,194020,13547
2026-06-12,10:38,193745,193430,193150,193975,16634
2026-06-12,10:39,193235,192970,192560,193350,37579
2026-06-12,10:40,193110,192480,192465,193110,28322
2026-06-12,10:41,192510,191840,191760,192665,37756
2026-06-12,10:42,191805,192225,191400,192355,72823
2026-06-12,10:43,192175,192830,192055,192865,40187
2026-06-12,10:44,192850,192140,191900,192880,21229
2026-06-12,10:45,192045,193080,192000,193095,35503
2026-06-12,10:46,193015,193630,192900,193685,31918
2026-06-12,10:47,193630,193775,193500,194040,79171
2026-06-12,10:48,193825,194590,193725,194680,56510
2026-06-12,10:49,194665,194950,194485,195000,42539
2026-06-12,10:50,194945,195040,194875,195425,63862
2026-06-12,10:51,195100,194900,194780,195300,39790
2026-06-12,10:52,194865,195090,194625,195140,32946
2026-06-12,10:53,195075,195080,194940,195305,42068
2026-06-12,10:54,195125,194905,194575,195330,27613
2026-06-12,10:55,194855,194705,194595,195065,18726
2026-06-12,10:56,194695,195565,194610,195795,49856
2026-06-12,10:57,195565,195970,195520,196075,45248
2026-06-12,10:58,195960,196075,195640,196120,41173
2026-06-12,10:59,196095,195505,195505,196250,36659
2026-06-12,11:00,195610,195957,195515,196100,29476
2026-06-12,11:01,195965,195970,195710,196245,30188
2026-06-12,11:02,195940,195890,195485,196100,22470
2026-06-12,11:03,195870,195685,195570,196060,18048
2026-06-12,11:04,195600,195715,195365,195990,18250
2026-06-12,11:05,195715,195285,195080,195825,24641
2026-06-12,11:06,195345,194975,194670,195345,27958
2026-06-12,11:07,194875,194840,194500,195140,16685
2026-06-12,11:08,194792,195090,194750,195285,26863
2026-06-12,11:09,195090,195415,194945,195725,29298
2026-06-12,11:10,195405,194905,194900,195525,18932
2026-06-12,11:11,194950,195005,194880,195205,15075
2026-06-12,11:12,195005,195735,195005,195735,27551
2026-06-12,11:13,195730,195855,195405,195885,11777
2026-06-12,11:14,195705,195335,195130,195705,8973
2026-06-12,11:15,195320,195820,195185,195820,37817
2026-06-12,11:16,195850,195755,195400,195915,27654
2026-06-12,11:17,195770,195715,195685,195980,8296
2026-06-12,11:18,195732,195345,195200,195865,12066
2026-06-12,11:19,195345,195870,195225,196060,33944
2026-06-12,11:20,195880,196170,195800,196170,14990
2026-06-12,11:21,196170,196035,195800,196250,25250
2026-06-12,11:22,196035,195815,195500,196125,20009
2026-06-12,11:23,195630,195510,195500,195850,6169
2026-06-12,11:24,195510,195315,195290,195850,22861
2026-06-12,11:25,195330,195235,195005,195530,11368
2026-06-12,11:26,195190,195430,195065,195680,11038
2026-06-12,11:27,195430,195355,195190,195430,5316
2026-06-12,11:28,195265,195450,195265,195730,20213
2026-06-12,11:29,195395,195435,195295,195550,8296
2026-06-12,11:30,195435,195470,195100,195645,17045
2026-06-12,11:31,195355,195300,195040,195550,11439
2026-06-12,11:32,195220,195250,195095,195470,11816
2026-06-12,11:33,195250,195110,195080,195570,26610
2026-06-12,11:34,195110,194755,194555,195110,19451
2026-06-12,11:35,194745,194730,194400,194910,19821
2026-06-12,11:36,194720,195735,194675,195990,28934
2026-06-12,11:37,195810,195700,195360,195875,21759
2026-06-12,11:38,195780,195950,195600,196070,19456
2026-06-12,11:39,195925,195890,195825,196080,9841
2026-06-12,11:40,195830,195925,195745,195925,4429
2026-06-12,11:41,195790,195800,195700,195900,4453
2026-06-12,11:42,195820,195560,195555,195935,12590
2026-06-12,11:43,195560,195835,195560,195865,4364
2026-06-12,11:44,195870,195840,195720,195940,6224
2026-06-12,11:45,195895,195990,195805,196125,23015
2026-06-12,11:46,195920,196060,195865,196205,11353
2026-06-12,11:47,196060,196085,195945,196275,8851
2026-06-12,11:48,196140,196170,196030,196250,16766
2026-06-12,11:49,196150,196460,196150,196500,37566
2026-06-12,11:50,196390,196195,196175,196455,9165
2026-06-12,11:51,196270,196400,196200,196490,9304
2026-06-12,11:52,196390,196715,196355,196740,26196
2026-06-12,11:53,196715,196735,196655,196845,34054
2026-06-12,11:54,196725,196730,196620,196780,7776
2026-06-12,11:55,196710,196760,196520,196785,31025
2026-06-12,11:56,196790,196850,196595,196915,15728
2026-06-12,11:57,196875,197020,196785,197090,37525
2026-06-12,11:58,197020,196860,196475,197180,20066
2026-06-12,11:59,196855,197010,196845,197010,10702
2026-06-12,12:00,197000,197085,196875,197225,31198
2026-06-12,12:01,197085,197445,197085,197470,25123
2026-06-12,12:02,197460,197310,197180,197480,12191
2026-06-12,12:03,197345,197390,197260,197505,41220
2026-06-12,12:04,197310,196875,196805,197390,22778
2026-06-12,12:05,196860,197115,196670,197170,17752
2026-06-12,12:06,197160,197175,196975,197250,7705
2026-06-12,12:07,197230,197115,196900,197250,11234
2026-06-12,12:08,197145,197260,196910,197260,8993
2026-06-12,12:09,197215,197335,196975,197335,16429
2026-06-12,12:10,197340,197170,197170,197430,10312
2026-06-12,12:11,197180,197255,197065,197355,6633
2026-06-12,12:12,197160,196965,196815,197245,10784
2026-06-12,12:13,196895,197000,196795,197090,10915
2026-06-12,12:14,197000,196975,196900,197090,8028
2026-06-12,12:15,196995,197200,196980,197250,10444
2026-06-12,12:16,197190,196955,196955,197190,3115
2026-06-12,12:17,197030,196925,196855,197090,10134
2026-06-12,12:18,196925,196800,196800,197000,11136
2026-06-12,12:19,196800,196300,196100,196800,16195
2026-06-12,12:20,196345,196210,195985,196450,17370
2026-06-12,12:21,196210,196555,196180,196665,13007
2026-06-12,12:22,196580,195820,195805,196680,19509
2026-06-12,12:23,195820,195800,195730,195970,16678
2026-06-12,12:24,195725,195980,195590,196110,25782
2026-06-12,12:25,196050,196280,195830,196280,16039
2026-06-12,12:26,196280,196730,196275,196865,38549
2026-06-12,12:27,196795,196735,196500,196900,17050
2026-06-12,12:28,196630,196715,196625,196860,5922
2026-06-12,12:29,196665,196825,196570,196885,21544
2026-06-12,12:30,196695,196920,196695,197005,16847
2026-06-12,12:31,196920,197030,196695,197270,24904
2026-06-12,12:32,197030,197115,196940,197265,12289
2026-06-12,12:33,197115,197170,197065,197300,11480
2026-06-12,12:34,197160,197400,197160,197470,24954
2026-06-12,12:35,197405,197280,197235,197535,61710
2026-06-12,12:36,197280,197180,197125,197440,8992
2026-06-12,12:37,197185,197580,197185,197590,18432
2026-06-12,12:38,197590,197700,197505,197765,11708
2026-06-12,12:39,197700,197805,197600,197850,14339
2026-06-12,12:40,197770,198025,197770,198050,79754
2026-06-12,12:41,198030,198000,197835,198060,9971
2026-06-12,12:42,197955,197800,197780,198010,7780
2026-06-12,12:43,197790,198065,197760,198120,32361
2026-06-12,12:44,198070,198125,198035,198220,24681
2026-06-12,12:45,198190,197870,197750,198190,11937
2026-06-12,12:46,197870,197960,197705,198040,10909
2026-06-12,12:47,198000,197365,197335,198040,10355
2026-06-12,12:48,197365,197645,197335,197805,5755
2026-06-12,12:49,197600,197720,197350,197720,13165
2026-06-12,12:50,197720,197910,197665,198040,16629
2026-06-12,12:51,197910,197985,197875,198045,16895
2026-06-12,12:52,197965,197865,197860,198005,3202
2026-06-12,12:53,197905,198100,197887,198140,12296
2026-06-12,12:54,198100,197945,197910,198170,8043
2026-06-12,12:55,197930,198000,197900,198125,2956
2026-06-12,12:56,197960,198020,197910,198060,3576
2026-06-12,12:57,198060,197815,197705,198080,10537
2026-06-12,12:58,197805,197900,197735,197995,2711
2026-06-12,12:59,197855,197685,197500,197890,20013
2026-06-12,13:00,197685,197310,197155,197765,18336
2026-06-12,13:01,197285,197525,197020,197525,15851
2026-06-12,13:02,197525,197285,197245,197580,12479
2026-06-12,13:03,197345,197440,197255,197490,5702
2026-06-12,13:04,197440,197485,197325,197550,10326
2026-06-12,13:05,197545,197165,197040,197545,17222
2026-06-12,13:06,197257,197035,197010,197300,10721
2026-06-12,13:07,197110,197190,197005,197190,16869
2026-06-12,13:08,197185,197300,197145,197355,12491
2026-06-12,13:09,197300,197330,197230,197375,7245
2026-06-12,13:10,197345,197700,197260,197750,31305
2026-06-12,13:11,197710,197770,197640,197900,16452
2026-06-12,13:12,197725,197730,197600,197890,10786
2026-06-12,13:13,197700,197295,197260,197730,8003
2026-06-12,13:14,197300,197430,197220,197430,9954
2026-06-12,13:15,197425,197585,197425,197900,15237
2026-06-12,13:16,197615,197675,197515,197775,13556
2026-06-12,13:17,197675,197805,197675,197860,7856
2026-06-12,13:18,197825,197600,197585,197865,14315
2026-06-12,13:19,197600,197760,197600,197880,7888
2026-06-12,13:20,197720,197805,197395,197830,10385
2026-06-12,13:21,197805,197825,197690,197855,7763
2026-06-12,13:22,197805,197755,197675,197970,19847
2026-06-12,13:23,197755,197945,197740,198065,30251
2026-06-12,13:24,197905,198050,197825,198105,15128
2026-06-12,13:25,198050,198310,198030,198350,57589
2026-06-12,13:26,198325,198220,198220,198350,10334
2026-06-12,13:27,198290,198395,198275,198502,46236
2026-06-12,13:28,198380,198270,198140,198415,9052
