date,time,open,close,low,high,volume
2026-06-26,09:00,21460,21205,21175,21460,10604
2026-06-26,09:01,21175,20950,20870,21340,59677
2026-06-26,09:02,20985,21035,20850,21155,78577
2026-06-26,09:03,21030,20810,20800,21030,106434
2026-06-26,09:04,20810,20740,20740,20865,29692
2026-06-26,09:05,20745,20720,20650,20750,35573
2026-06-26,09:06,20745,20635,20600,20815,63893
2026-06-26,09:07,20635,20600,20580,20652,28378
2026-06-26,09:08,20595,20725,20575,20775,32018
2026-06-26,09:09,20720,20750,20615,20765,50788
2026-06-26,09:10,20770,20775,20735,20870,31819
2026-06-26,09:11,20810,20680,20680,20890,84821
2026-06-26,09:12,20710,20705,20635,20765,22765
2026-06-26,09:13,20685,20750,20650,20750,33408
2026-06-26,09:14,20720,20710,20650,20780,23204
2026-06-26,09:15,20705,20760,20640,20800,19430
2026-06-26,09:16,20795,20715,20695,20805,35332
2026-06-26,09:17,20745,20795,20715,20855,39621
2026-06-26,09:18,20800,20815,20775,20865,36850
2026-06-26,09:19,20810,20800,20790,20895,12386
2026-06-26,09:20,20785,20925,20760,20935,17111
2026-06-26,09:21,20905,20880,20840,20940,13998
2026-06-26,09:22,20865,20900,20815,20965,47029
2026-06-26,09:23,20900,20825,20825,20920,28617
2026-06-26,09:24,20850,20765,20765,20860,8809
2026-06-26,09:25,20770,20765,20730,20805,9321
2026-06-26,09:26,20740,20725,20690,20760,5767
2026-06-26,09:27,20700,20690,20690,20745,5867
2026-06-26,09:28,20700,20735,20680,20755,9178
2026-06-26,09:29,20735,20755,20675,20755,6042
2026-06-26,09:30,20730,20690,20675,20760,10387
2026-06-26,09:31,20685,20705,20675,20710,3774
2026-06-26,09:32,20710,20675,20670,20750,6370
2026-06-26,09:33,20665,20705,20650,20720,3306
2026-06-26,09:34,20700,20710,20660,20735,4532
2026-06-26,09:35,20710,20655,20635,20720,6080
2026-06-26,09:36,20650,20735,20620,20735,9518
2026-06-26,09:37,20740,20705,20660,20770,5664
2026-06-26,09:38,20685,20625,20620,20685,9420
2026-06-26,09:39,20625,20630,20580,20630,7971
2026-06-26,09:40,20630,20700,20595,20715,14120
2026-06-26,09:41,20700,20675,20625,20700,6998
2026-06-26,09:42,20675,20735,20660,20795,14950
2026-06-26,09:43,20750,20765,20720,20800,7503
2026-06-26,09:44,20785,20760,20735,20800,16866
2026-06-26,09:45,20755,20760,20730,20770,7041
2026-06-26,09:46,20765,20790,20760,20795,5064
2026-06-26,09:47,20780,20775,20760,20795,2426
2026-06-26,09:48,20770,20760,20735,20790,3261
2026-06-26,09:49,20760,20700,20690,20760,6310
2026-06-26,09:50,20690,20635,20630,20700,14316
2026-06-26,09:51,20635,20680,20635,20740,20877
2026-06-26,09:52,20680,20695,20655,20720,3675
2026-06-26,09:53,20665,20670,20635,20700,19011
2026-06-26,09:54,20670,20615,20615,20670,3762
2026-06-26,09:55,20620,20595,20575,20620,5224
2026-06-26,09:56,20580,20600,20570,20625,5052
2026-06-26,09:57,20600,20590,20570,20615,5572
2026-06-26,09:58,20585,20595,20585,20615,2491
2026-06-26,09:59,20595,20585,20575,20625,6999
2026-06-26,10:00,20570,20650,20555,20650,10602
2026-06-26,10:01,20655,20670,20635,20750,42491
2026-06-26,10:02,20670,20655,20625,20685,3961
2026-06-26,10:03,20655,20655,20640,20675,2847
2026-06-26,10:04,20660,20605,20600,20685,4736
2026-06-26,10:05,20615,20530,20525,20660,7481
2026-06-26,10:06,20535,20510,20490,20540,8251
2026-06-26,10:07,20515,20540,20515,20580,4270
2026-06-26,10:08,20540,20635,20540,20650,14612
2026-06-26,10:09,20635,20645,20595,20645,6438
2026-06-26,10:10,20645,20700,20615,20700,10113
2026-06-26,10:11,20695,20685,20675,20725,15711
2026-06-26,10:12,20710,20715,20700,20740,6565
2026-06-26,10:13,20710,20725,20670,20740,12144
2026-06-26,10:14,20715,20700,20685,20715,1685
2026-06-26,10:15,20705,20785,20685,20820,23405
2026-06-26,10:16,20785,20790,20735,20820,27342
2026-06-26,10:17,20785,20795,20775,20805,587
2026-06-26,10:18,20795,20845,20770,20845,9151
2026-06-26,10:19,20825,20820,20820,20855,14176
2026-06-26,10:20,20840,20840,20825,20865,1750
2026-06-26,10:21,20865,20815,20815,20865,12218
2026-06-26,10:22,20815,20830,20815,20845,3220
2026-06-26,10:23,20845,20840,20805,20885,10289
2026-06-26,10:24,20830,20820,20805,20830,640
2026-06-26,10:25,20820,20815,20795,20820,2478
2026-06-26,10:26,20815,20785,20785,20815,7860
2026-06-26,10:27,20785,20770,20770,20810,1797
2026-06-26,10:28,20785,20760,20755,20795,3849
2026-06-26,10:29,20755,20710,20710,20755,2497
2026-06-26,10:30,20700,20680,20665,20720,15247
2026-06-26,10:31,20690,20720,20690,20755,5531
2026-06-26,10:32,20725,20700,20645,20725,13918
2026-06-26,10:33,20690,20700,20670,20705,8604
2026-06-26,10:34,20700,20665,20665,20700,3811
2026-06-26,10:35,20685,20705,20665,20720,9510
2026-06-26,10:36,20710,20710,20700,20720,2778
