date,time,open,close,low,high,volume
2026-06-16,09:00,1440000,1429000,1422000,1441000,21549
2026-06-16,09:01,1429000,1453000,1429000,1457000,7771
2026-06-16,09:02,1453000,1444000,1440000,1457000,6519
2026-06-16,09:03,1444000,1437000,1436000,1445000,3732
2026-06-16,09:04,1437000,1441000,1434000,1445000,2462
2026-06-16,09:05,1442000,1433000,1433000,1445000,4178
2026-06-16,09:06,1433000,1435000,1427000,1437000,7456
2026-06-16,09:07,1436000,1436000,1434000,1440000,1555
2026-06-16,09:08,1436000,1438000,1436000,1443000,1814
2026-06-16,09:09,1438000,1438000,1436000,1440000,1588
2026-06-16,09:10,1438000,1444000,1437000,1445000,1945
2026-06-16,09:11,1444000,1445000,1440000,1448000,1905
2026-06-16,09:12,1446000,1445000,1445000,1448000,888
2026-06-16,09:13,1446000,1448000,1444500,1449000,1054
2026-06-16,09:14,1449000,1447000,1444000,1449000,658
2026-06-16,09:15,1447000,1438000,1438000,1447000,1464
2026-06-16,09:16,1439000,1425000,1425000,1439000,2290
2026-06-16,09:17,1425000,1426000,1423000,1429000,2421
2026-06-16,09:18,1426000,1431000,1426000,1433000,1834
2026-06-16,09:19,1432000,1435000,1430000,1436000,1070
2026-06-16,09:20,1435000,1427000,1427000,1437000,1348
2026-06-16,09:21,1426000,1429000,1423000,1430000,1320
2026-06-16,09:22,1429000,1424000,1423000,1429000,1285
2026-06-16,09:23,1423000,1428000,1423000,1434000,2175
2026-06-16,09:24,1428000,1430000,1428000,1435000,1761
2026-06-16,09:25,1430000,1429000,1428000,1431000,1061
2026-06-16,09:26,1429000,1435000,1429000,1435000,841
2026-06-16,09:27,1435000,1431000,1430000,1435000,1343
2026-06-16,09:28,1431000,1434000,1430000,1434000,1167
2026-06-16,09:29,1433000,1438000,1433000,1440000,1965
2026-06-16,09:30,1437000,1436000,1432000,1438000,2113
2026-06-16,09:31,1435000,1443000,1435000,1444000,2472
2026-06-16,09:32,1443000,1445000,1442000,1446000,1490
2026-06-16,09:33,1445000,1441500,1441000,1447000,2565
2026-06-16,09:34,1442000,1445000,1441000,1446000,889
2026-06-16,09:35,1444000,1440000,1440000,1445500,1396
2026-06-16,09:36,1441000,1438000,1437500,1442000,945
2026-06-16,09:37,1437500,1435000,1434000,1440000,1498
2026-06-16,09:38,1435000,1428000,1427000,1435000,1209
2026-06-16,09:39,1427000,1423000,1423000,1428000,1266
2026-06-16,09:40,1424000,1424000,1423000,1425000,1229
2026-06-16,09:41,1424000,1425000,1420000,1426000,1734
2026-06-16,09:42,1425500,1421000,1420000,1425500,1452
2026-06-16,09:43,1420000,1417000,1417000,1421000,1889
2026-06-16,09:44,1417000,1415000,1414000,1419000,1683
2026-06-16,09:45,1415000,1414000,1414000,1416000,577
2026-06-16,09:46,1415000,1418000,1414000,1418000,926
2026-06-16,09:47,1418000,1420000,1416000,1423000,3127
2026-06-16,09:48,1420000,1418000,1417000,1423000,1188
2026-06-16,09:49,1418500,1415000,1413000,1419000,778
2026-06-16,09:50,1415000,1413000,1412000,1418000,1907
2026-06-16,09:51,1412500,1413000,1410000,1418000,1919
2026-06-16,09:52,1414000,1415000,1413000,1418000,1165
2026-06-16,09:53,1415000,1409500,1409000,1415000,1961
2026-06-16,09:54,1409500,1405000,1403000,1412000,2143
2026-06-16,09:55,1405000,1412000,1404000,1415000,1363
2026-06-16,09:56,1412000,1411000,1407000,1412000,941
2026-06-16,09:57,1411000,1409000,1407000,1412000,1190
2026-06-16,09:58,1409000,1408000,1408000,1409000,475
2026-06-16,09:59,1409000,1411000,1406000,1411000,1502
2026-06-16,10:00,1411000,1407000,1406000,1411000,1385
2026-06-16,10:01,1407000,1404000,1403000,1408000,1084
2026-06-16,10:02,1404000,1397000,1396000,1404500,3646
2026-06-16,10:03,1397500,1400000,1393000,1402000,2289
2026-06-16,10:04,1399500,1396000,1395000,1401000,1995
2026-06-16,10:05,1396000,1390000,1390000,1398000,1066
2026-06-16,10:06,1391000,1388000,1387000,1394000,1476
2026-06-16,10:07,1387500,1387000,1385000,1389000,1768
2026-06-16,10:08,1387000,1385000,1383000,1389000,928
2026-06-16,10:09,1384500,1382000,1381000,1385000,1359
2026-06-16,10:10,1381500,1383000,1380000,1384000,2156
2026-06-16,10:11,1383000,1387000,1380000,1389000,2236
2026-06-16,10:12,1389000,1391000,1387000,1395000,1787
2026-06-16,10:13,1390500,1388000,1386000,1391000,1627
2026-06-16,10:14,1388000,1395000,1388000,1397000,1109
2026-06-16,10:15,1395000,1394000,1392000,1395000,1083
2026-06-16,10:16,1394000,1397000,1394000,1397000,976
