date,time,open,close,low,high,volume
2026-06-16,09:00,28630,28855,27945,28950,985253
2026-06-16,09:01,28850,29485,28850,29510,1614399
2026-06-16,09:02,29490,29105,29050,29495,947818
2026-06-16,09:03,29110,28770,28770,29110,669288
2026-06-16,09:04,28790,29085,28705,29160,688995
2026-06-16,09:05,29105,29025,28885,29170,937868
2026-06-16,09:06,29020,28960,28865,29050,514601
2026-06-16,09:07,28975,29030,28950,29090,670770
2026-06-16,09:08,29025,29150,29010,29195,600299
2026-06-16,09:09,29160,29065,29062,29215,352736
2026-06-16,09:10,29080,29165,29045,29220,350659
2026-06-16,09:11,29175,29160,29070,29190,193136
2026-06-16,09:12,29165,29190,29070,29200,205458
2026-06-16,09:13,29190,29120,29070,29225,251785
2026-06-16,09:14,29130,28990,28920,29145,358074
2026-06-16,09:15,28975,28715,28690,29000,428260
2026-06-16,09:16,28720,28590,28540,28760,484537
2026-06-16,09:17,28602,28680,28520,28725,430542
2026-06-16,09:18,28685,28835,28670,28880,299290
2026-06-16,09:19,28830,28920,28745,28920,223681
2026-06-16,09:20,28925,28685,28660,28940,290984
2026-06-16,09:21,28690,28595,28555,28695,385004
2026-06-16,09:22,28602,28450,28415,28640,625194
2026-06-16,09:23,28440,28580,28420,28645,526182
2026-06-16,09:24,28585,28735,28570,28770,253805
2026-06-16,09:25,28745,28780,28700,28780,203019
2026-06-16,09:26,28770,28865,28750,28890,318974
2026-06-16,09:27,28865,28885,28835,28920,159371
2026-06-16,09:28,28880,28975,28855,28990,213218
2026-06-16,09:29,28975,28880,28875,28990,205694
2026-06-16,09:30,28885,28760,28700,28890,472241
2026-06-16,09:31,28760,28880,28720,28920,357864
2026-06-16,09:32,28880,28905,28820,28945,156664
2026-06-16,09:33,28910,28830,28805,28975,423079
2026-06-16,09:34,28820,28925,28805,28940,151998
2026-06-16,09:35,28925,28835,28815,28950,221618
2026-06-16,09:36,28840,28830,28785,28900,159232
2026-06-16,09:37,28840,28830,28790,28870,124357
2026-06-16,09:38,28830,28730,28720,28830,154810
2026-06-16,09:39,28725,28652,28640,28740,160396
2026-06-16,09:40,28650,28775,28635,28795,417314
2026-06-16,09:41,28770,28870,28755,28875,171040
2026-06-16,09:42,28870,28655,28640,28870,346026
2026-06-16,09:43,28660,28620,28525,28680,603294
2026-06-16,09:44,28615,28525,28515,28695,325195
2026-06-16,09:45,28540,28490,28450,28565,307767
2026-06-16,09:46,28480,28525,28400,28545,368127
2026-06-16,09:47,28545,28590,28500,28640,257624
2026-06-16,09:48,28600,28430,28410,28675,421336
2026-06-16,09:49,28420,28190,28155,28440,466598
2026-06-16,09:50,28195,27865,27840,28200,1054786
2026-06-16,09:51,27865,27895,27830,28020,584393
2026-06-16,09:52,27890,27850,27805,27935,636056
2026-06-16,09:53,27850,28000,27820,28080,641865
2026-06-16,09:54,28010,27935,27875,28130,630544
2026-06-16,09:55,27935,28050,27930,28130,681775
2026-06-16,09:56,28045,28225,28020,28225,472849
2026-06-16,09:57,28215,28140,28065,28295,723064
2026-06-16,09:58,28140,28000,27985,28140,383695
2026-06-16,09:59,28000,28040,27940,28140,665221
2026-06-16,10:00,28045,27940,27920,28045,375882
2026-06-16,10:01,27925,27900,27860,27980,350886
2026-06-16,10:02,27910,27670,27630,27910,670481
2026-06-16,10:03,27665,27800,27560,27810,758194
2026-06-16,10:04,27810,27830,27745,27905,370743
2026-06-16,10:05,27845,27510,27500,27845,528272
2026-06-16,10:06,27525,27420,27400,27645,693984
2026-06-16,10:07,27415,27240,27205,27455,662721
2026-06-16,10:08,27240,27045,27045,27335,583089
2026-06-16,10:09,27050,27020,27005,27140,659871
2026-06-16,10:10,27010,27265,27000,27285,781574
2026-06-16,10:11,27265,27335,27035,27360,808166
2026-06-16,10:12,27340,27535,27325,27650,801577
2026-06-16,10:13,27525,27405,27310,27570,420285
2026-06-16,10:14,27410,27695,27390,27795,445374
2026-06-16,10:15,27670,27810,27650,27845,412673
2026-06-16,10:16,27815,28035,27795,28050,427806
2026-06-16,10:17,28035,27990,27925,28125,392958
2026-06-16,10:18,28000,27960,27930,28040,284333
2026-06-16,10:19,27985,27780,27750,28005,301940
2026-06-16,10:20,27790,28005,27765,28005,298918
2026-06-16,10:21,28000,27895,27860,28055,385297
2026-06-16,10:22,27910,27930,27865,27980,267791
2026-06-16,10:23,27910,28040,27885,28060,237719
2026-06-16,10:24,28035,27950,27930,28100,253351
2026-06-16,10:25,27950,27920,27890,28010,338445
2026-06-16,10:26,27920,27950,27800,27950,360023
2026-06-16,10:27,27947,28035,27910,28045,275245
2026-06-16,10:28,28040,27950,27865,28040,550756
2026-06-16,10:29,27940,27980,27930,28005,61293
2026-06-16,10:30,27985,28015,27865,28050,220420
2026-06-16,10:31,28015,28195,27965,28220,247735
2026-06-16,10:32,28210,28200,28165,28235,232076
2026-06-16,10:33,28205,28160,28100,28245,453225
2026-06-16,10:34,28150,28265,28135,28285,400116
2026-06-16,10:35,28275,28180,28150,28300,353698
2026-06-16,10:36,28175,28090,28085,28185,284746
2026-06-16,10:37,28090,28295,28090,28320,317774
2026-06-16,10:38,28290,28400,28255,28410,467479
2026-06-16,10:39,28410,28450,28360,28450,274625
2026-06-16,10:40,28450,28480,28400,28480,298084
2026-06-16,10:41,28470,28525,28465,28550,407054
2026-06-16,10:42,28525,28595,28497,28615,274597
2026-06-16,10:43,28595,28435,28430,28600,362009
2026-06-16,10:44,28430,28410,28380,28510,235658
2026-06-16,10:45,28410,28420,28320,28435,270553
2026-06-16,10:46,28420,28590,28415,28595,295846
2026-06-16,10:47,28590,28740,28520,28745,419147
2026-06-16,10:48,28735,28725,28670,28735,233135
2026-06-16,10:49,28730,28665,28580,28745,258659
2026-06-16,10:50,28660,28645,28590,28665,192369
2026-06-16,10:51,28645,28510,28485,28645,281436
2026-06-16,10:52,28510,28415,28395,28555,250121
2026-06-16,10:53,28415,28375,28315,28435,250922
2026-06-16,10:54,28385,28465,28325,28470,195248
2026-06-16,10:55,28465,28470,28400,28510,150544
2026-06-16,10:56,28480,28540,28450,28560,277060
2026-06-16,10:57,28535,28550,28495,28570,106984
2026-06-16,10:58,28555,28525,28490,28615,191590
2026-06-16,10:59,28525,28445,28435,28535,334580
2026-06-16,11:00,28440,28455,28385,28475,172117
2026-06-16,11:01,28455,28250,28215,28465,130290
2026-06-16,11:02,28250,28215,28165,28275,223947
2026-06-16,11:03,28205,28380,28205,28380,158604
2026-06-16,11:04,28380,28390,28290,28390,139488
2026-06-16,11:05,28385,28350,28240,28390,319794
2026-06-16,11:06,28365,28495,28335,28510,126521
2026-06-16,11:07,28500,28505,28435,28505,114399
2026-06-16,11:08,28505,28515,28475,28580,134875
2026-06-16,11:09,28515,28540,28505,28550,86337
