date,time,open,close,low,high,volume
2026-06-19,09:02,7400,7335,7320,7400,1132866
2026-06-19,09:03,7335,7315,7255,7350,964642
2026-06-19,09:04,7315,7320,7295,7365,647655
2026-06-19,09:05,7320,7325,7295,7360,913278
2026-06-19,09:06,7340,7365,7320,7370,681330
2026-06-19,09:07,7365,7440,7355,7445,842050
2026-06-19,09:08,7440,7395,7385,7455,569235
2026-06-19,09:09,7395,7370,7350,7405,421161
2026-06-19,09:10,7370,7400,7335,7400,382727
2026-06-19,09:11,7405,7485,7400,7490,882569
2026-06-19,09:12,7480,7540,7470,7555,811155
2026-06-19,09:13,7550,7520,7480,7550,588538
2026-06-19,09:14,7515,7500,7490,7530,402566
2026-06-19,09:15,7505,7590,7495,7590,446111
2026-06-19,09:16,7585,7655,7580,7670,733703
2026-06-19,09:17,7665,7685,7650,7730,828359
2026-06-19,09:18,7675,7560,7550,7685,594369
2026-06-19,09:19,7560,7525,7500,7575,534109
2026-06-19,09:20,7515,7515,7460,7530,674814
2026-06-19,09:21,7510,7500,7490,7555,766729
2026-06-19,09:22,7500,7445,7445,7505,362860
2026-06-19,09:23,7445,7440,7425,7470,389904
2026-06-19,09:24,7430,7470,7430,7490,433234
2026-06-19,09:25,7470,7465,7435,7490,346784
2026-06-19,09:26,7470,7505,7470,7525,560975
2026-06-19,09:27,7505,7510,7490,7540,545354
2026-06-19,09:28,7515,7475,7470,7515,193575
2026-06-19,09:29,7470,7530,7465,7545,234667
2026-06-19,09:30,7530,7465,7455,7545,365525
2026-06-19,09:31,7460,7465,7440,7490,217203
2026-06-19,09:32,7465,7425,7415,7470,225356
2026-06-19,09:33,7420,7455,7405,7470,338358
2026-06-19,09:34,7455,7455,7440,7495,200580
2026-06-19,09:35,7460,7495,7450,7505,165172
2026-06-19,09:36,7495,7500,7460,7510,116626
2026-06-19,09:37,7495,7470,7440,7500,182197
2026-06-19,09:38,7470,7440,7435,7470,133245
2026-06-19,09:39,7440,7405,7390,7450,499711
2026-06-19,09:40,7410,7372,7360,7415,456589
2026-06-19,09:41,7372,7395,7365,7415,220774
2026-06-19,09:42,7395,7390,7380,7415,161688
2026-06-19,09:43,7390,7400,7385,7415,161087
2026-06-19,09:44,7405,7375,7370,7405,138614
2026-06-19,09:45,7390,7405,7385,7410,100902
2026-06-19,09:46,7410,7410,7400,7445,264219
2026-06-19,09:47,7405,7390,7370,7405,158097
2026-06-19,09:48,7395,7400,7380,7405,57004
2026-06-19,09:49,7395,7405,7390,7420,86719
2026-06-19,09:50,7405,7380,7375,7405,118643
2026-06-19,09:51,7380,7385,7360,7385,167944
2026-06-19,09:52,7380,7360,7360,7405,125701
2026-06-19,09:53,7355,7325,7315,7360,373524
2026-06-19,09:54,7320,7340,7315,7345,113735
2026-06-19,09:55,7345,7340,7340,7370,204729
2026-06-19,09:56,7345,7365,7345,7370,105962
2026-06-19,09:57,7365,7340,7325,7365,108661
2026-06-19,09:58,7340,7330,7330,7345,72473
2026-06-19,09:59,7335,7340,7310,7340,182635
2026-06-19,10:00,7335,7335,7335,7365,169489
2026-06-19,10:01,7340,7340,7330,7360,222711
2026-06-19,10:02,7350,7345,7330,7360,214147
2026-06-19,10:03,7345,7265,7250,7350,556831
2026-06-19,10:04,7255,7275,7240,7295,480288
2026-06-19,10:05,7270,7245,7240,7285,311801
2026-06-19,10:06,7250,7265,7240,7280,233474
2026-06-19,10:07,7260,7270,7240,7270,191670
2026-06-19,10:08,7265,7275,7265,7305,411554
2026-06-19,10:09,7270,7260,7255,7275,147019
2026-06-19,10:10,7260,7215,7205,7265,325132
2026-06-19,10:11,7215,7275,7210,7285,367912
2026-06-19,10:12,7270,7265,7245,7275,219230
2026-06-19,10:13,7260,7265,7245,7275,171178
2026-06-19,10:14,7260,7220,7220,7270,116965
2026-06-19,10:15,7225,7190,7180,7225,290664
2026-06-19,10:16,7190,7145,7140,7195,637119
2026-06-19,10:17,7140,7125,7110,7145,487330
2026-06-19,10:18,7130,7115,7110,7140,360435
2026-06-19,10:19,7120,7135,7120,7160,358494
2026-06-19,10:20,7130,7085,7085,7135,266785
2026-06-19,10:21,7090,7080,7075,7090,254970
2026-06-19,10:22,7075,7045,7040,7080,275478
2026-06-19,10:23,7040,7065,7035,7100,693240
2026-06-19,10:24,7065,7080,7055,7085,307745
2026-06-19,10:25,7085,7040,7030,7105,410116
