date,time,open,close,low,high,volume
2026-06-15,09:00,1840000,1889000,1835000,1889000,51696
2026-06-15,09:01,1889000,1889000,1870000,1891000,22441
2026-06-15,09:02,1889000,1895000,1889000,1912000,23154
2026-06-15,09:03,1893500,1892000,1885000,1902000,12274
2026-06-15,09:04,1893000,1919000,1892000,1920000,22729
2026-06-15,09:05,1920000,1917000,1905000,1920000,13758
2026-06-15,09:06,1915000,1893000,1884000,1918000,11334
2026-06-15,09:07,1894000,1898000,1891000,1902000,5889
2026-06-15,09:08,1898000,1923000,1897000,1927000,23922
2026-06-15,09:09,1922000,1918000,1916000,1926000,9394
2026-06-15,09:10,1918000,1911000,1909000,1920000,7559
2026-06-15,09:11,1911000,1943000,1910000,1945000,46610
2026-06-15,09:12,1942000,1945000,1942000,1950000,19302
2026-06-15,09:13,1945000,1956000,1945000,1964000,24403
2026-06-15,09:14,1956000,1948000,1940000,1959000,13212
2026-06-15,09:15,1947000,1942000,1940000,1955000,9046
2026-06-15,09:16,1941000,1940000,1928000,1944000,10990
2026-06-15,09:17,1940000,1936000,1935000,1946000,6415
2026-06-15,09:18,1936000,1927000,1925000,1938000,8393
2026-06-15,09:19,1927000,1928000,1927000,1933000,5992
2026-06-15,09:20,1928000,1928000,1927000,1934000,7654
2026-06-15,09:21,1928000,1930000,1928000,1937000,6509
2026-06-15,09:22,1930000,1935000,1928000,1938000,5101
2026-06-15,09:23,1935000,1923000,1917000,1935000,9260
2026-06-15,09:24,1925000,1934000,1923000,1935000,6089
2026-06-15,09:25,1934000,1928000,1926000,1943000,8501
2026-06-15,09:26,1928000,1925000,1925000,1932000,5365
2026-06-15,09:27,1925000,1921000,1920000,1926000,5659
2026-06-15,09:28,1922000,1916000,1911000,1922000,9968
2026-06-15,09:29,1916000,1919000,1913000,1923000,5041
2026-06-15,09:30,1919000,1934000,1917000,1937000,9954
2026-06-15,09:31,1934000,1933000,1931000,1935000,3562
2026-06-15,09:32,1933000,1932000,1928000,1935000,4394
2026-06-15,09:33,1932000,1935000,1931000,1937000,8290
2026-06-15,09:34,1935000,1927000,1926000,1936000,4230
2026-06-15,09:35,1927000,1938000,1926000,1943000,11391
2026-06-15,09:36,1939000,1937000,1934000,1939000,3173
2026-06-15,09:37,1936000,1946000,1933000,1947000,10712
2026-06-15,09:38,1946000,1947000,1945000,1948000,4487
2026-06-15,09:39,1947000,1950000,1947000,1953000,12352
2026-06-15,09:40,1951000,1952000,1949000,1954000,7298
2026-06-15,09:41,1953000,1970000,1952500,1970000,23237
2026-06-15,09:42,1970000,1959000,1955000,1970000,11459
2026-06-15,09:43,1959000,1974000,1958000,1975000,16850
2026-06-15,09:44,1975000,1955000,1952000,1975000,10008
2026-06-15,09:45,1954000,1940000,1931000,1957000,23494
2026-06-15,09:46,1940000,1947000,1937000,1947000,8727
2026-06-15,09:47,1946500,1944000,1941000,1951000,4662
2026-06-15,09:48,1944000,1949000,1942000,1951000,3787
2026-06-15,09:49,1949000,1943000,1943000,1950000,3680
2026-06-15,09:50,1943000,1947000,1942000,1949000,4797
2026-06-15,09:51,1949000,1948000,1946000,1950000,3734
2026-06-15,09:52,1948000,1944000,1944000,1953000,5377
2026-06-15,09:53,1945000,1938000,1938000,1947000,5159
2026-06-15,09:54,1938500,1936000,1935500,1942000,4443
2026-06-15,09:55,1936000,1938000,1934000,1939000,4687
2026-06-15,09:56,1937000,1946500,1935000,1948000,4554
2026-06-15,09:57,1946500,1947000,1943000,1949000,3053
2026-06-15,09:58,1947000,1948000,1945000,1950000,2764
2026-06-15,09:59,1948000,1938000,1937000,1948000,4094
2026-06-15,10:00,1939000,1941000,1935000,1942000,3194
2026-06-15,10:01,1941000,1940000,1936000,1941000,1901
2026-06-15,10:02,1940000,1936000,1935000,1941000,2139
2026-06-15,10:03,1935000,1932000,1930000,1938000,5228
2026-06-15,10:04,1932000,1938000,1931000,1938000,3067
2026-06-15,10:05,1938000,1933000,1932000,1944000,10635
2026-06-15,10:06,1933000,1930000,1928000,1934000,6082
2026-06-15,10:07,1930000,1928000,1928000,1932000,2713
2026-06-15,10:08,1928500,1928000,1926000,1930000,3332
2026-06-15,10:09,1928000,1933000,1928000,1934000,2893
2026-06-15,10:10,1933000,1930000,1928000,1935000,2034
2026-06-15,10:11,1930000,1925000,1925000,1931000,2315
2026-06-15,10:12,1926000,1920000,1920000,1926000,2696
2026-06-15,10:13,1920000,1912000,1911000,1921000,3511
2026-06-15,10:14,1911000,1915000,1907000,1916000,7616
2026-06-15,10:15,1915000,1920000,1914000,1920000,4065
2026-06-15,10:16,1920000,1914000,1914000,1920000,2926
2026-06-15,10:17,1914000,1908000,1905000,1914000,4630
2026-06-15,10:18,1909000,1915000,1908000,1916000,3015
2026-06-15,10:19,1915000,1912000,1911000,1917000,2876
2026-06-15,10:20,1912000,1922000,1909000,1925000,6051
2026-06-15,10:21,1924000,1926000,1919000,1929000,3473
2026-06-15,10:22,1927000,1926000,1925000,1928000,2073
2026-06-15,10:23,1927000,1928000,1926000,1930000,2721
2026-06-15,10:24,1928000,1933000,1928000,1934000,3767
2026-06-15,10:25,1932000,1935000,1927000,1936000,3299
2026-06-15,10:26,1935000,1935000,1934000,1937000,2086
2026-06-15,10:27,1935000,1937000,1933000,1938000,2204
2026-06-15,10:28,1938000,1940000,1938000,1942000,4409
2026-06-15,10:29,1940000,1940000,1939000,1942000,2593
2026-06-15,10:30,1940000,1934000,1929000,1940000,3672
2026-06-15,10:31,1935000,1934000,1933000,1935000,1616
2026-06-15,10:32,1935000,1930000,1929000,1939000,2183
2026-06-15,10:33,1930000,1928000,1927000,1931000,2208
2026-06-15,10:34,1929000,1922000,1922000,1929000,1873
2026-06-15,10:35,1923000,1920000,1919000,1924000,2455
2026-06-15,10:36,1919000,1923000,1919000,1925000,2196
2026-06-15,10:37,1923000,1924000,1921000,1925000,1125
2026-06-15,10:38,1924000,1930000,1923000,1931000,3059
2026-06-15,10:39,1931000,1931000,1925000,1932000,3726
2026-06-15,10:40,1931000,1933000,1929000,1934000,2238
2026-06-15,10:41,1932000,1934000,1931000,1935000,1310
2026-06-15,10:42,1934000,1937000,1934000,1937000,1751
2026-06-15,10:43,1937000,1937000,1937000,1940000,3243
2026-06-15,10:44,1939000,1938000,1936000,1940000,2370
2026-06-15,10:45,1937000,1940000,1934000,1940000,4185
2026-06-15,10:46,1939000,1939000,1937000,1940000,1403
2026-06-15,10:47,1939000,1938000,1938000,1940000,1994
2026-06-15,10:48,1939000,1942000,1938000,1942000,2894
2026-06-15,10:49,1941000,1944000,1940000,1944000,3548
2026-06-15,10:50,1944000,1943000,1942000,1945000,2242
2026-06-15,10:51,1943000,1941000,1940000,1943000,1408
2026-06-15,10:52,1940000,1941000,1938000,1941000,2348
2026-06-15,10:53,1940000,1941000,1938000,1943000,2544
2026-06-15,10:54,1940000,1935000,1933000,1940000,2460
2026-06-15,10:55,1935000,1939000,1935000,1940000,1930
2026-06-15,10:56,1939000,1931000,1931000,1940000,1519
2026-06-15,10:57,1931000,1931000,1928000,1934000,3786
2026-06-15,10:58,1932000,1926000,1926000,1933000,2212
2026-06-15,10:59,1926000,1927000,1925000,1929000,1760
2026-06-15,11:00,1927000,1928000,1926000,1929000,1798
2026-06-15,11:01,1928000,1921000,1920000,1929000,1789
2026-06-15,11:02,1920000,1916000,1916000,1921000,2028
2026-06-15,11:03,1916000,1913000,1912000,1917000,3040
2026-06-15,11:04,1913000,1914000,1912000,1915000,2130
2026-06-15,11:05,1915000,1916000,1910000,1917000,4662
2026-06-15,11:06,1916000,1919000,1915000,1922000,2780
2026-06-15,11:07,1919000,1917000,1916000,1922000,2580
2026-06-15,11:08,1916000,1919000,1915000,1920000,1887
2026-06-15,11:09,1919000,1921000,1919000,1923000,2087
2026-06-15,11:10,1920000,1919000,1917000,1921000,1969
2026-06-15,11:11,1919000,1916000,1915000,1919000,2154
2026-06-15,11:12,1916000,1914000,1913000,1917000,2406
2026-06-15,11:13,1913000,1912000,1911000,1914000,1633
2026-06-15,11:14,1912000,1910000,1909000,1913000,2660
2026-06-15,11:15,1910000,1909000,1909000,1911000,2107
2026-06-15,11:16,1910000,1912000,1910000,1914000,2466
2026-06-15,11:17,1913000,1911000,1910000,1914000,1550
2026-06-15,11:18,1911000,1905000,1905000,1911000,3521
2026-06-15,11:19,1906000,1904000,1904000,1909000,3521
2026-06-15,11:20,1904000,1902000,1902000,1905000,2752
2026-06-15,11:21,1902000,1905000,1901000,1909000,3701
2026-06-15,11:22,1906000,1902500,1901000,1906000,1865
2026-06-15,11:23,1903000,1903000,1901000,1903000,2173
2026-06-15,11:24,1902000,1902000,1901000,1904000,1537
2026-06-15,11:25,1901000,1893000,1893000,1903000,6586
2026-06-15,11:26,1893000,1900000,1892000,1900000,4137
2026-06-15,11:27,1900000,1904000,1897000,1904000,2305
2026-06-15,11:28,1904000,1913000,1903500,1913000,1971
2026-06-15,11:29,1913000,1917000,1912000,1917000,1760
2026-06-15,11:30,1917000,1915000,1914000,1918000,1973
2026-06-15,11:31,1914000,1911000,1910000,1915000,1436
2026-06-15,11:32,1911000,1916000,1910000,1916000,1999
2026-06-15,11:33,1916000,1915000,1913000,1916000,1222
2026-06-15,11:34,1914000,1915000,1913000,1916000,962
2026-06-15,11:35,1916000,1920000,1914000,1921000,2380
2026-06-15,11:36,1921000,1920000,1919000,1921000,1413
2026-06-15,11:37,1921000,1922000,1920000,1923000,1901
2026-06-15,11:38,1921000,1926000,1921000,1927000,2763
2026-06-15,11:39,1926000,1924000,1922000,1926000,1449
2026-06-15,11:40,1924000,1923000,1922000,1925000,928
2026-06-15,11:41,1923000,1923500,1923000,1924000,626
2026-06-15,11:42,1923500,1925000,1922000,1927000,2196
2026-06-15,11:43,1924500,1926000,1924000,1927000,1648
2026-06-15,11:44,1926000,1926000,1924000,1926000,746
2026-06-15,11:45,1925000,1924000,1923000,1926000,1080
2026-06-15,11:46,1924000,1923000,1921000,1924000,1302
2026-06-15,11:47,1923000,1923000,1919000,1924000,1631
2026-06-15,11:48,1924000,1924000,1920000,1925000,1138
2026-06-15,11:49,1923000,1926000,1923000,1928000,3048
2026-06-15,11:50,1926000,1926000,1925000,1928000,1304
2026-06-15,11:51,1927000,1930000,1927000,1930000,1834
2026-06-15,11:52,1929000,1930000,1929000,1930000,1619
2026-06-15,11:53,1930000,1928000,1928000,1933000,2322
2026-06-15,11:54,1929000,1929000,1928000,1931000,1550
2026-06-15,11:55,1929000,1931000,1928000,1932000,2174
2026-06-15,11:56,1932000,1931000,1930000,1932000,840
2026-06-15,11:57,1931000,1933000,1930000,1933000,1286
2026-06-15,11:58,1932000,1933000,1932000,1933000,925
2026-06-15,11:59,1933000,1929000,1929000,1933000,1296
2026-06-15,12:00,1930000,1929000,1928000,1930000,1237
2026-06-15,12:01,1929000,1929000,1928000,1932000,1339
2026-06-15,12:02,1929000,1929000,1928000,1930000,866
2026-06-15,12:03,1929000,1928000,1928000,1929000,1098
2026-06-15,12:04,1928000,1928000,1927500,1930000,1605
2026-06-15,12:05,1929000,1929000,1926000,1930000,1729
2026-06-15,12:06,1928000,1932000,1928000,1933000,1984
2026-06-15,12:07,1932000,1932000,1931500,1933000,1310
2026-06-15,12:08,1933000,1936000,1933000,1938000,3800
2026-06-15,12:09,1935000,1936000,1933000,1936000,1173
2026-06-15,12:10,1935500,1936000,1935000,1937000,1913
2026-06-15,12:11,1936000,1937000,1936000,1939000,2563
2026-06-15,12:12,1937000,1939000,1937000,1940000,3606
2026-06-15,12:13,1939000,1936000,1936000,1939000,1226
2026-06-15,12:14,1936000,1935000,1933000,1936000,1678
2026-06-15,12:15,1934000,1932000,1932000,1935000,735
2026-06-15,12:16,1932000,1932000,1932000,1934000,1530
2026-06-15,12:17,1932000,1933000,1932000,1934000,865
2026-06-15,12:18,1932000,1932000,1932000,1933000,1076
2026-06-15,12:19,1932000,1933000,1931500,1933000,1316
2026-06-15,12:20,1933000,1933000,1932000,1933000,946
2026-06-15,12:21,1933000,1934500,1932000,1935000,926
