date,time,open,close,low,high,volume
2026-06-29,09:00,24135,23950,23710,24530,773681
2026-06-29,09:01,23955,23420,23350,23955,660129
2026-06-29,09:02,23415,23330,23090,23480,636412
2026-06-29,09:03,23340,23480,23160,23500,534876
2026-06-29,09:04,23460,23280,23280,23590,684999
2026-06-29,09:05,23300,23410,23210,23490,678581
2026-06-29,09:06,23410,23615,23285,23695,678639
2026-06-29,09:07,23605,23420,23400,23785,580879
2026-06-29,09:08,23425,23300,23290,23545,367448
2026-06-29,09:09,23300,23555,23120,23560,588857
2026-06-29,09:10,23560,23570,23465,23760,671727
2026-06-29,09:11,23585,23880,23570,23930,731955
2026-06-29,09:12,23865,23650,23640,23865,210671
2026-06-29,09:13,23650,23385,23380,23700,236973
2026-06-29,09:14,23385,23170,23140,23385,505404
2026-06-29,09:15,23185,23155,23080,23240,228394
2026-06-29,09:16,23160,23020,23000,23280,350654
2026-06-29,09:17,23005,23515,23005,23600,367877
2026-06-29,09:18,23525,23647,23435,23680,350394
2026-06-29,09:19,23640,23255,23210,23665,323117
2026-06-29,09:20,23250,23300,23120,23340,362322
2026-06-29,09:21,23285,23115,23070,23290,249366
2026-06-29,09:22,23115,22815,22810,23120,363891
2026-06-29,09:23,22825,22910,22825,23040,310574
2026-06-29,09:24,22900,22930,22855,23065,400111
2026-06-29,09:25,22930,22835,22825,23055,368424
2026-06-29,09:26,22835,22735,22705,22890,273085
2026-06-29,09:27,22745,22650,22635,22850,338063
2026-06-29,09:28,22640,22490,22470,22740,466166
2026-06-29,09:29,22485,22465,22405,22660,498026
2026-06-29,09:30,22475,22665,22450,22835,476933
2026-06-29,09:31,22665,22460,22460,22720,275616
2026-06-29,09:32,22480,22455,22445,22600,264654
2026-06-29,09:33,22460,22430,22430,22715,656292
2026-06-29,09:34,22435,22415,22360,22500,350551
2026-06-29,09:35,22400,22405,22300,22445,399316
2026-06-29,09:36,22415,22505,22295,22640,571261
2026-06-29,09:37,22515,22475,22390,22630,313570
2026-06-29,09:38,22460,22640,22435,22670,235733
2026-06-29,09:39,22640,22530,22465,22745,353274
2026-06-29,09:40,22535,22735,22495,22770,223405
2026-06-29,09:41,22730,22880,22700,22910,432868
2026-06-29,09:42,22885,22855,22830,23000,263062
2026-06-29,09:43,22865,22840,22735,22915,313265
2026-06-29,09:44,22825,22830,22820,22920,151194
2026-06-29,09:45,22830,22625,22615,22870,274751
2026-06-29,09:46,22615,22545,22510,22660,121570
2026-06-29,09:47,22555,22470,22395,22605,226678
2026-06-29,09:48,22460,22370,22305,22495,211958
2026-06-29,09:49,22370,22505,22345,22560,233828
2026-06-29,09:50,22505,22570,22470,22700,311942
2026-06-29,09:51,22570,22770,22525,22845,228140
2026-06-29,09:52,22760,22940,22735,22960,225997
2026-06-29,09:53,22940,22965,22810,22985,191387
2026-06-29,09:54,22965,23030,22870,23095,283879
2026-06-29,09:55,23035,23060,23000,23105,236153
2026-06-29,09:56,23055,22985,22950,23100,233862
2026-06-29,09:57,22985,23105,22985,23125,128396
2026-06-29,09:58,23105,23230,23055,23300,255872
2026-06-29,09:59,23230,23280,23220,23345,276195
2026-06-29,10:00,23285,23320,23260,23450,387079
2026-06-29,10:01,23330,23270,23255,23410,301043
2026-06-29,10:02,23270,23100,23025,23280,377523
2026-06-29,10:03,23095,23070,22985,23205,286867
2026-06-29,10:04,23080,22895,22885,23160,188121
2026-06-29,10:05,22885,23175,22885,23195,136954
2026-06-29,10:06,23180,23350,23165,23385,181917
2026-06-29,10:07,23345,23230,23205,23400,259706
2026-06-29,10:08,23220,23220,23125,23330,162897
2026-06-29,10:09,23215,23200,23160,23265,83434
2026-06-29,10:10,23195,23250,23120,23315,140808
2026-06-29,10:11,23260,23115,23080,23280,82780
2026-06-29,10:12,23120,23000,22985,23145,134466
2026-06-29,10:13,22990,22880,22875,23000,113195
2026-06-29,10:14,22885,22920,22850,22995,107538
2026-06-29,10:15,22920,22985,22885,22985,37898
2026-06-29,10:16,22985,22890,22885,23060,100986
2026-06-29,10:17,22885,22780,22750,22885,142451
2026-06-29,10:18,22770,22745,22735,22800,190327
2026-06-29,10:19,22735,22880,22735,22885,123481
2026-06-29,10:20,22885,22945,22765,22955,112494
2026-06-29,10:21,22955,22940,22935,23140,178247
2026-06-29,10:22,22945,22955,22875,22975,82829
2026-06-29,10:23,22955,22855,22830,22985,80211
2026-06-29,10:24,22855,22830,22805,22905,49441
2026-06-29,10:25,22830,22825,22820,22915,59202
2026-06-29,10:26,22835,22890,22815,22915,40171
2026-06-29,10:27,22895,22770,22755,22980,153088
2026-06-29,10:28,22765,22825,22760,22840,36083
2026-06-29,10:29,22825,22720,22705,22825,110525
2026-06-29,10:30,22730,22730,22600,22760,206533
2026-06-29,10:31,22720,22785,22700,22860,270901
2026-06-29,10:32,22790,22945,22790,22965,257836
2026-06-29,10:33,22945,22915,22860,22965,85915
2026-06-29,10:34,22910,22770,22750,22915,130846
2026-06-29,10:35,22767,22935,22765,22957,182731
2026-06-29,10:36,22930,23095,22905,23115,189292
2026-06-29,10:37,23100,22985,22925,23195,208281
2026-06-29,10:38,22985,23030,22910,23090,120656
2026-06-29,10:39,23025,23115,22985,23145,131308
2026-06-29,10:40,23105,23210,23105,23225,236234
2026-06-29,10:41,23215,23355,23195,23405,208509
2026-06-29,10:42,23355,23345,23260,23410,267833
2026-06-29,10:43,23350,23340,23322,23430,219559
2026-06-29,10:44,23350,23495,23310,23500,227338
2026-06-29,10:45,23500,23240,23130,23520,485415
2026-06-29,10:46,23230,23190,23175,23285,175072
2026-06-29,10:47,23200,23160,23120,23270,78844
2026-06-29,10:48,23170,23200,23135,23245,81059
2026-06-29,10:49,23200,23280,23115,23310,110000
2026-06-29,10:50,23280,23235,23215,23380,143965
2026-06-29,10:51,23230,23140,23060,23250,123734
2026-06-29,10:52,23145,23180,23095,23230,67767
2026-06-29,10:53,23180,23120,23100,23200,108160
2026-06-29,10:54,23115,23110,23065,23160,54676
2026-06-29,10:55,23120,23105,23055,23155,74468
2026-06-29,10:56,23105,23035,23030,23150,112028
2026-06-29,10:57,23035,22960,22930,23035,147881
2026-06-29,10:58,22960,22975,22960,23075,100890
2026-06-29,10:59,22985,22840,22800,22990,165232
2026-06-29,11:00,22850,22830,22805,22880,170013
2026-06-29,11:01,22830,22915,22830,22925,74343
2026-06-29,11:02,22915,22820,22805,22915,79176
2026-06-29,11:03,22825,22660,22635,22830,217107
2026-06-29,11:04,22655,22690,22605,22730,112487
2026-06-29,11:05,22680,22720,22660,22750,143192
2026-06-29,11:06,22720,22620,22605,22745,152876
2026-06-29,11:07,22630,22595,22580,22710,145599
2026-06-29,11:08,22605,22570,22550,22630,99984
2026-06-29,11:09,22570,22600,22570,22640,95119
2026-06-29,11:10,22610,22610,22590,22665,197327
2026-06-29,11:11,22620,22585,22560,22680,193255
2026-06-29,11:12,22585,22530,22505,22595,111699
2026-06-29,11:13,22535,22450,22420,22535,187260
2026-06-29,11:14,22450,22410,22390,22465,191246
2026-06-29,11:15,22405,22440,22395,22465,97636
2026-06-29,11:16,22440,22485,22400,22500,66372
2026-06-29,11:17,22490,22570,22425,22570,221860
2026-06-29,11:18,22570,22575,22480,22575,132720
2026-06-29,11:19,22570,22680,22570,22695,195776
2026-06-29,11:20,22665,22525,22520,22695,108096
2026-06-29,11:21,22525,22610,22520,22630,80423
2026-06-29,11:22,22605,22685,22560,22690,108918
2026-06-29,11:23,22690,22675,22640,22745,97721
2026-06-29,11:24,22665,22640,22615,22695,50734
2026-06-29,11:25,22650,22575,22560,22650,114167
2026-06-29,11:26,22585,22705,22585,22725,212398
2026-06-29,11:27,22705,22815,22675,22835,107230
2026-06-29,11:28,22820,22730,22710,22820,82244
2026-06-29,11:29,22740,22730,22580,22750,182346
2026-06-29,11:30,22717,22755,22670,22770,33942
2026-06-29,11:31,22750,22570,22540,22750,72666
2026-06-29,11:32,22565,22590,22530,22600,78312
2026-06-29,11:33,22590,22510,22450,22600,122541
2026-06-29,11:34,22505,22480,22435,22505,55295
2026-06-29,11:35,22470,22500,22435,22535,134716
2026-06-29,11:36,22490,22455,22430,22520,104312
2026-06-29,11:37,22450,22465,22430,22485,72965
2026-06-29,11:38,22465,22570,22435,22580,75857
2026-06-29,11:39,22570,22510,22480,22610,90652
2026-06-29,11:40,22515,22600,22475,22630,69949
2026-06-29,11:41,22595,22630,22585,22695,176115
2026-06-29,11:42,22630,22680,22620,22745,108952
2026-06-29,11:43,22685,22715,22650,22730,108916
2026-06-29,11:44,22715,22760,22660,22775,126560
2026-06-29,11:45,22775,22750,22690,22807,66323
2026-06-29,11:46,22755,22700,22680,22780,53613
2026-06-29,11:47,22680,22605,22585,22730,71449
2026-06-29,11:48,22600,22685,22545,22685,47018
2026-06-29,11:49,22685,22645,22595,22705,59183
2026-06-29,11:50,22650,22585,22565,22680,64289
2026-06-29,11:51,22595,22520,22495,22660,137073
2026-06-29,11:52,22525,22505,22495,22580,71700
2026-06-29,11:53,22500,22425,22405,22500,110665
2026-06-29,11:54,22440,22455,22405,22495,102831
2026-06-29,11:55,22465,22475,22455,22545,73723
2026-06-29,11:56,22475,22470,22450,22520,52345
2026-06-29,11:57,22470,22510,22465,22540,58821
2026-06-29,11:58,22510,22530,22500,22570,95208
2026-06-29,11:59,22535,22485,22450,22555,92394
2026-06-29,12:00,22492,22585,22460,22595,85033
2026-06-29,12:01,22585,22575,22520,22635,106798
2026-06-29,12:02,22560,22690,22535,22730,156511
2026-06-29,12:03,22700,22655,22640,22745,79325
2026-06-29,12:04,22655,22680,22635,22725,72402
2026-06-29,12:05,22685,22655,22645,22735,96160
2026-06-29,12:06,22657,22600,22590,22672,108568
2026-06-29,12:07,22600,22460,22455,22600,83212
2026-06-29,12:08,22460,22440,22430,22480,70288
2026-06-29,12:09,22440,22485,22440,22495,113940
2026-06-29,12:10,22490,22440,22430,22515,66142
2026-06-29,12:11,22435,22435,22395,22475,180850
2026-06-29,12:12,22420,22415,22330,22450,195778
2026-06-29,12:13,22400,22400,22360,22420,75910
2026-06-29,12:14,22400,22370,22315,22425,139241
2026-06-29,12:15,22370,22350,22340,22460,233086
2026-06-29,12:16,22355,22355,22310,22365,90372
2026-06-29,12:17,22355,22315,22305,22355,48293
2026-06-29,12:18,22315,22305,22280,22365,219412
2026-06-29,12:19,22310,22320,22290,22340,40393
2026-06-29,12:20,22315,22315,22285,22340,72915
2026-06-29,12:21,22320,22360,22310,22385,111306
2026-06-29,12:22,22345,22425,22340,22445,139018
2026-06-29,12:23,22425,22330,22310,22440,110068
2026-06-29,12:24,22340,22295,22280,22340,65661
2026-06-29,12:25,22295,22225,22130,22295,321111
2026-06-29,12:26,22225,22270,22215,22285,81599
2026-06-29,12:27,22275,22250,22225,22285,79518
2026-06-29,12:28,22250,22355,22250,22385,244758
2026-06-29,12:29,22355,22335,22315,22380,44599
