date,time,open,close,low,high,volume
2026-07-03,09:00,15275,14810,14705,15275,213331
2026-07-03,09:01,14805,14830,14585,14900,274631
2026-07-03,09:02,14865,15215,14810,15225,130270
2026-07-03,09:03,15210,14770,14765,15265,136137
2026-07-03,09:04,14770,14850,14740,14930,129793
2026-07-03,09:05,14865,14845,14785,14955,77589
2026-07-03,09:06,14845,14465,14420,14875,128740
2026-07-03,09:07,14470,14635,14435,14665,82037
2026-07-03,09:08,14620,14720,14560,14800,79399
2026-07-03,09:09,14705,14950,14650,14955,96673
2026-07-03,09:10,14960,14875,14860,15050,141981
2026-07-03,09:11,14865,14605,14545,14880,67212
2026-07-03,09:12,14605,14790,14605,14840,63199
2026-07-03,09:13,14760,14480,14450,14770,60185
2026-07-03,09:14,14470,14495,14425,14540,54338
2026-07-03,09:15,14505,14605,14460,14645,89197
2026-07-03,09:16,14595,14685,14545,14760,77388
2026-07-03,09:17,14685,14760,14505,14765,84840
2026-07-03,09:18,14755,15015,14730,15040,87695
2026-07-03,09:19,15000,14975,14890,15035,95004
2026-07-03,09:20,14980,14860,14775,14980,101089
2026-07-03,09:21,14855,14920,14735,14955,73132
2026-07-03,09:22,14915,15080,14845,15100,70471
2026-07-03,09:23,15075,15090,15025,15180,154175
2026-07-03,09:24,15095,15150,14965,15170,90094
2026-07-03,09:25,15160,15095,14995,15165,127910
2026-07-03,09:26,15130,15035,14975,15130,100230
2026-07-03,09:27,15050,15190,14995,15215,72217
2026-07-03,09:28,15190,15195,15110,15240,126479
2026-07-03,09:29,15205,15250,15200,15260,105041
2026-07-03,09:30,15245,15505,15220,15550,206457
2026-07-03,09:31,15520,15335,15305,15555,265147
2026-07-03,09:32,15325,15520,15305,15540,162333
2026-07-03,09:33,15520,15580,15515,15695,219161
2026-07-03,09:34,15605,15830,15585,15830,181567
2026-07-03,09:35,15825,15285,15260,15880,327814
2026-07-03,09:36,15285,14995,14985,15285,288194
2026-07-03,09:37,14995,14945,14930,15090,127800
2026-07-03,09:38,14930,14940,14765,14960,178611
2026-07-03,09:39,14950,14895,14775,15060,160467
2026-07-03,09:40,14920,15075,14920,15130,114086
2026-07-03,09:41,15085,15075,14960,15110,97834
2026-07-03,09:42,15080,15200,15080,15335,172167
2026-07-03,09:43,15220,15320,15175,15340,96118
2026-07-03,09:44,15340,15310,15240,15340,96739
2026-07-03,09:45,15335,15475,15285,15500,86455
2026-07-03,09:46,15470,15230,15205,15490,204682
2026-07-03,09:47,15210,15285,15140,15390,107821
2026-07-03,09:48,15290,15390,15170,15390,68044
2026-07-03,09:49,15380,15280,15220,15380,33138
2026-07-03,09:50,15280,15275,15195,15290,52576
2026-07-03,09:51,15280,15330,15265,15460,106960
2026-07-03,09:52,15340,15435,15325,15455,53940
2026-07-03,09:53,15450,15590,15365,15635,149872
2026-07-03,09:54,15595,15535,15435,15595,159033
2026-07-03,09:55,15530,15600,15455,15630,151327
2026-07-03,09:56,15595,15735,15595,15780,245043
2026-07-03,09:57,15745,15810,15645,15835,422040
2026-07-03,09:58,15820,15815,15720,15845,196925
2026-07-03,09:59,15830,15680,15580,15845,221541
2026-07-03,10:00,15680,15510,15400,15685,182833
2026-07-03,10:01,15520,15570,15460,15640,163186
2026-07-03,10:02,15580,15315,15312,15580,169788
