date,time,tf,signal,price,detail,context
2026-07-06,10:08,1분,바닥 반등,182415,"하단터치 10:03 → 복귀 %b 0.19 · RSI 37.2↑(저점 32.6) · 거래량 1.9×","갭 +2.5% · 당일 -0.7% · 저점比 +2.7% · VWAP 아래 -1.5% · 일봉추세 -1.00"
2026-07-06,10:09,1분,반등 지속(직후 양봉),182800,"1차(10:08) 직후 양봉 지속 · 몸통 0.8×",""
2026-07-06,10:17,1분,골든크로스(반등 확인),183900,"MA5 183,086 > MA20 183,003 돌파 · 1차(10:08) 후 9분 · +0.81%","갭 +2.5% · 당일 +0.1% · 저점比 +3.5% · VWAP 아래 -0.6% · 일봉추세 -1.00"
2026-07-06,10:19,1분,진입 적기(추세 지속),184040,"✅ 확인(10:17) 후 2분 종가 유지 · +0.08% — 추세 지속 확인","갭 +2.5% · 당일 +0.2% · 저점比 +3.6% · VWAP 아래 -0.5% · 일봉추세 -1.00"
2026-07-06,10:58,1분,바닥 반등,174895,"하단터치 10:53 → 복귀 %b 0.27 · RSI 37↑(저점 23.7) · 거래량 1.9× · 다이버전스","갭 +2.5% · 당일 -4.8% · 저점比 +1.3% · VWAP 아래 -4.5% · 일봉추세 -1.00"
2026-07-06,10:58,3분,바닥 반등,174895,"하단터치 10:53 → 복귀 %b 0.27 · RSI 37↑(저점 23.7) · 거래량 1.6× · 다이버전스","갭 +2.5% · 당일 -4.8% · 저점比 +1.3% · VWAP 아래 -4.5% · 일봉추세 -1.00"
2026-07-06,10:58,5분,바닥 반등,174895,"하단터치 10:53 → 복귀 %b 0.27 · RSI 37↑(저점 23.7) · 거래량 1.6× · 다이버전스","갭 +2.5% · 당일 -4.8% · 저점比 +1.3% · VWAP 아래 -4.5% · 일봉추세 -1.00"
2026-07-06,10:58,10분,바닥 반등,174895,"하단터치 10:53 → 복귀 %b 0.27 · RSI 37↑(저점 23.7) · 거래량 1.6× · 다이버전스","갭 +2.5% · 당일 -4.8% · 저점比 +1.3% · VWAP 아래 -4.5% · 일봉추세 -1.00"
2026-07-06,10:58,15분,바닥 반등,174895,"하단터치 10:53 → 복귀 %b 0.27 · RSI 37↑(저점 23.7) · 거래량 1.6× · 다이버전스","갭 +2.5% · 당일 -4.8% · 저점比 +1.3% · VWAP 아래 -4.5% · 일봉추세 -1.00"
2026-07-06,10:59,1분,반등 지속(직후 양봉),175885,"1차(10:58) 직후 양봉 지속 · 몸통 1.1×",""
2026-07-06,11:03,1분,골든크로스(반등 확인),177200,"MA5 176,883 > MA20 176,307 돌파 · 1차(10:58) 후 5분 · +1.32%","갭 +2.5% · 당일 -3.6% · 저점比 +2.7% · VWAP 아래 -3.1% · 리본 3.8%(분산) · 일봉추세 -1.00"
2026-07-06,11:03,3분,골든크로스(반등 확인),177200,"MA5 176,883 > MA20 176,307 돌파 · 1차(10:58) 후 5분 · +1.32%","갭 +2.5% · 당일 -3.6% · 저점比 +2.7% · VWAP 아래 -3.1% · 일봉추세 -1.00"
2026-07-06,11:03,5분,골든크로스(반등 확인),177200,"MA5 176,883 > MA20 176,307 돌파 · 1차(10:58) 후 5분 · +1.32%","갭 +2.5% · 당일 -3.6% · 저점比 +2.7% · VWAP 아래 -3.1% · 일봉추세 -1.00"
2026-07-06,11:03,10분,골든크로스(반등 확인),177200,"MA5 176,883 > MA20 176,307 돌파 · 1차(10:58) 후 5분 · +1.32%","갭 +2.5% · 당일 -3.6% · 저점比 +2.7% · VWAP 아래 -3.1% · 일봉추세 -1.00"
2026-07-06,11:03,15분,골든크로스(반등 확인),177200,"MA5 176,883 > MA20 176,307 돌파 · 1차(10:58) 후 5분 · +1.32%","갭 +2.5% · 당일 -3.6% · 저점比 +2.7% · VWAP 아래 -3.1% · 일봉추세 -1.00"
2026-07-06,11:15,1분,바닥 반등,173615,"하단터치 11:12 → 복귀 %b 0.31 · RSI 43↑(저점 33.4) · 거래량 1.9×","갭 +2.5% · 당일 -5.5% · 저점比 +1.2% · VWAP 아래 -4.6% · 리본 5.3%(분산) · 일봉추세 -1.00"
2026-07-06,11:16,1분,반등 지속(직후 양봉),173885,"1차(11:15) 직후 양봉 지속 · 몸통 0.4×",""
2026-07-06,11:34,1분,바닥 반등,170250,"하단터치 11:29 → 복귀 %b 0.29 · RSI 40.7↑(저점 29.7) · 거래량 1.9× · 다이버전스","갭 +2.5% · 당일 -7.3% · 저점比 +0.9% · VWAP 아래 -5.9% · 리본 5.7%(분산) · 일봉추세 -1.00"
2026-07-06,11:51,3분,바닥 반등,166880,"하단터치 11:49 → 복귀 %b 0.26 · RSI 38.6↑(저점 32.1) · 거래량 1.5× · 다이버전스","갭 +2.5% · 당일 -9.2% · 저점比 +0.7% · VWAP 아래 -7.3% · 일봉추세 -1.00"
2026-07-06,11:55,3분,골든크로스(강력),170445,"MA5 168,635 > MA20 168,036 돌파 · 1차(11:51) 후 4분 · +2.14%","갭 +2.5% · 당일 -7.2% · 저점比 +2.9% · VWAP 아래 -5.2% · 일봉추세 -1.00"
2026-07-06,14:36,1분,바닥 반등,172660,"하단터치 14:31 → 복귀 %b 0.28 · RSI 41.7↑(저점 30.3) · 거래량 2.4×","갭 +2.5% · 당일 -6.0% · 저점比 +4.2% · VWAP 아래 -2.8% · 리본 1.9%(보통) · 일봉추세 -1.00"
2026-07-06,14:36,3분,바닥 반등,172660,"하단터치 14:31 → 복귀 %b 0.28 · RSI 41.7↑(저점 30.3) · 거래량 1.6×","갭 +2.5% · 당일 -6.0% · 저점比 +4.2% · VWAP 아래 -2.8% · 일봉추세 -1.00"
2026-07-06,14:36,5분,바닥 반등,172660,"하단터치 14:31 → 복귀 %b 0.28 · RSI 41.7↑(저점 30.3) · 거래량 1.5×","갭 +2.5% · 당일 -6.0% · 저점比 +4.2% · VWAP 아래 -2.8% · 일봉추세 -1.00"
2026-07-06,14:37,1분,반등 지속(직후 양봉),173530,"1차(14:36) 직후 양봉 지속 · 몸통 1.4×",""
2026-07-06,14:41,1분,골든크로스(약·모멘텀 부족),173240,"MA5 173,409 > MA20 173,368 돌파 · 1차(14:36) 후 5분 · +0.34% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 +2.5% · 당일 -5.7% · 저점比 +4.5% · VWAP 아래 -2.4% · 리본 1.1%(밀집) · 일봉추세 -1.00"
2026-07-06,14:41,3분,골든크로스(약·모멘텀 부족),173240,"MA5 173,409 > MA20 173,368 돌파 · 1차(14:36) 후 5분 · +0.34% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 +2.5% · 당일 -5.7% · 저점比 +4.5% · VWAP 아래 -2.4% · 일봉추세 -1.00"
2026-07-06,14:41,5분,골든크로스(약·모멘텀 부족),173240,"MA5 173,409 > MA20 173,368 돌파 · 1차(14:36) 후 5분 · +0.34% (모멘텀 0.8% 미달 — 횡보성 크로스 주의)","갭 +2.5% · 당일 -5.7% · 저점比 +4.5% · VWAP 아래 -2.4% · 일봉추세 -1.00"
